Title,Link,Date,Image,Author,Epigraph
Un terremoto deja al menos un millar de muertos en  Birmania y un centenar en Bangkok,https://www.lavanguardia.com/internacional/20250329/10530891/terremoto-deja-200-muertos-birmania-9-bangkok-mas-cien-desaparecidos.html,29/03/2025 00:00,https://www.lavanguardia.com/files/og_thumbnail/uploads/2025/03/28/67e6756e49294.jpeg,Jordi Joan Baños,"Un edificio en construcción se hunde en la capital tailandesa y sepulta a decenas de obreros 
Terremoto en Birmania de magnitud 7,7, en directo"
Vance justifica desde Groenlandia su anexión para mantenerla “a salvo” de Rusia y China,https://www.lavanguardia.com/internacional/20250328/10530701/vance-justifica-groenlandia-anexion-mantenerla-salvo-rusia-china.html,28/03/2025 19:53,https://www.lavanguardia.com/files/og_thumbnail/files/fp/uploads/2025/03/28/67e6efe041296.r_d.3879-2768-0.jpeg,Javier de la Sotilla,El vicepresidente reprocha a Dinamarca y los demás países europeos que “no han seguido el ritmo” de la inversión militar
Trump reclama a Sánchez aumentar el gasto en defensa por su compromiso con la OTAN,https://www.lavanguardia.com/politica/20250328/10531086/trump-reclama-sanchez-aumentar-gasto-defensa-compromiso-otan.html,28/03/2025 23:44,https://www.lavanguardia.com/files/og_thumbnail/files/fp/uploads/2025/03/28/67e725b24f03b.r_d.4491-3263-1453.jpeg,Agencias,Es el primer contacto entre ambas ejecutivos tras el regreso del líder republicano a la Casa Blanca en enero
"Groenlandia para ti, Ucrania para mí",https://www.lavanguardia.com/politica/20250329/10531167/groenlandia-ti-ucrania-mi.html,29/03/2025 06:00,https://www.lavanguardia.com/files/og_thumbnail/uploads/2025/03/28/67e6ee8f5420b.png,Enric Juliana,Todo apunta a un pacto en ciernes entre Estados Unidos y Rusia sobre zonas de influencia
El bumerán de los aranceles,https://www.lavanguardia.com/economia/20250329/10530656/bumeran-aranceles.html,29/03/2025 06:00,https://www.lavanguardia.com/files/og_thumbnail/uploads/2025/03/28/67e6eacf469bb.jpeg,Autor no disponible,Epígrafe no disponible
Trump pide al Supremo que permita sus deportaciones bajo una ley de 1798,https://www.lavanguardia.com/internacional/20250329/10530587/trump-pide-supremo-permita-deportaciones-ley-1798.html,29/03/2025 06:00,https://www.lavanguardia.com/files/og_thumbnail/files/fp/uploads/2025/03/28/67e6e4b8a7946.r_d.3009-1889-2107.jpeg,Javier de la Sotilla,El presidente agota la vía judicial tras desobedecer el bloqueo del juez Boasberg
Las claves de la absolución de Dani Alves: el tribunal duda del testimonio de la víctima,https://www.lavanguardia.com/vida/20250328/10529143/claves-absolucion-dani-alves-tribunal-duda-testimonio-victima.html,28/03/2025 15:29,https://www.lavanguardia.com/files/og_thumbnail/files/fp/uploads/2025/03/28/67e70fba11795.r_d.3239-2069-1878.jpeg,Toni Muñoz,El TSJC considera que la sentencia que condenó al futbolista presentaba “déficits valorativos muy relevantes”
"Cronología del “caso Alves”: de la cárcel a la condena, hasta la libertad y la absolución",https://www.lavanguardia.com/vida/20250328/10528923/cronologia-caso-alves-carcel-condena-libertad-absolucion.html,28/03/2025 13:54,https://www.lavanguardia.com/files/og_thumbnail/uploads/2024/04/10/66169d8d03322.jpeg,Javier Ricou,"La causa por violación contra el jugador ha escrito un nuevo  capítulo, que se augura no va a ser el último"
Caso Dani Alves: no se han creído a la víctima,https://www.lavanguardia.com/vida/20250329/10530562/caso-dani-alves-han-creido-victima.html,29/03/2025 00:30,https://www.lavanguardia.com/files/og_thumbnail/uploads/2025/03/28/67e6d508b6e2f.jpeg,Autor no disponible,Epígrafe no disponible
Alves y la justicia paralela,https://www.lavanguardia.com/opinion/20250329/10530805/alves-justicia-paralela.html,29/03/2025 00:30,https://www.lavanguardia.com/files/og_thumbnail/uploads/2025/03/28/67e6a830d0f74.jpeg,Autor no disponible,Epígrafe no disponible
